address,lat,lng
翠微路12号嘉茂购物中心2层,116.302867,116.302867
北三环东路22号,116.42399,116.42399
太平庄东路天通苑东苑东三区2号楼国泰百货1层,116.435883,116.435883
铭泽生活广场1层,116.476992,116.476992
西四环南路70号1层,116.283531,116.283531
机场西路北京首都国际机场2号航站楼1层,116.593391,116.593391
南环路10院1号楼悦荟万科商城B1层,116.238745,116.238745
安立路68号太阳飘亮购物中心1层A-7区内007铺,116.408581,116.408581
永外车站路12号北京南站B1层,116.380031,116.380031
永外车站路12号北京南站B1层,116.377483,116.377483
莲花池东路118号北京西站B1层,116.320791,116.320791
莲花池东路118号北京西站F3层,116.321076,116.321076
九棵树中街9号京通罗斯福广场B1层B01-02,116.65936,116.65936
生命园路4号院4号楼1层101商铺,116.268622,116.268622
开阳路北京火车南站高架1层A203,116.377977,116.377977
首都机场路2号航站楼F2层,116.593787,116.593787
鼓楼南街6号佳莲时代广场1层1A-01室,116.234109,116.234109
首都国际机场中心广场东侧3号航站楼A区2层,116.617664,116.617664
北京南站B1层,116.380332,116.380332
鼓楼南大街3号燕赛奥特莱斯购物中心F1层,116.845348,116.845348
北京南站B1层南进口东南南侧F139、F140、F141-A、F141-B号,116.380379,116.380379
永外大街12号北京南站B1层地铁北出口北侧,116.377732,116.377732
九棵树西路48号阳光新生活广场F1层,116.656405,116.656405
万源北路与万源路交叉口万源广场2层,116.42387,116.42387
安慧里二区5号楼1层,116.408085,116.408085
欣宁街15号北京荟聚西红门购物中心L3层,116.327594,116.327594
阜石路61号,116.238607,116.238607
金沟河路与采石北路交汇处,116.260342,116.260342
苹果园南路9号乐活美食汇1层,116.198498,116.198498
天竺镇裕翔路88号新国展2层,116.548991,116.548991
